시도,펌프차,물탱크차,사다리차,화학차,조연차,구조차,구급차,지휘차,화재조사차,소방정(구조정)헬기,기타
서울특별시,120,96,53,26,28,56,154,27,9,14,396
부산광역시,78,60,24,16,16,48,74,15,12,5,165
대구광역시,70,43,18,12,8,37,56,14,1,2,112
인천광역시,76,41,19,19,8,32,74,13,11,6,129
광주광역시,49,7,10,9,4,44,37,6,6,1,58
대전광역시,45,7,14,8,4,18,32,9,1,0,70
울산광역시,41,18,14,15,5,18,28,7,5,1,61
세종특별자치시,20,5,6,4,2,5,10,6,1,0,18
경기도,330,160,86,55,35,75,242,81,43,6,429
강원도,153,41,28,11,9,57,138,19,17,4,218
충청북도,124,22,26,11,11,45,75,13,12,2,137
충청남도,216,50,17,27,7,44,116,33,10,2,116
전라북도,111,30,20,15,6,32,77,11,2,2,96
전라남도,237,30,26,18,0,44,95,16,6,3,118
경상북도,257,61,35,23,6,30,133,21,4,4,270
경상남도,153,67,44,28,16,47,140,22,22,4,202
제주특별자치도,35,20,12,6,4,10,31,8,1,0,60
